Sat 8/16,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,
,SS1/SS2/SS3,SS4/SS5/SS6,8U1/8U2/8U3,8U4/8U5/8U6,10UF4/10UF6,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,
,8U7/8U8/8U9,10UF1/10UF3,10UF2/10UF5,10UF7/10UF8,10UF9/10UF10,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,
,13UF1/13UF2,13UF3/13UF4,13UF5/13UF6,13UF7,12US3/12US4,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,
,12US1,12US2,14F1,14F2,14F3,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,
,14F4,19US1,19US2,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Mon 8/18,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF7/10UF5,10UF8/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF2,13UF1,13UF2,13UF4/13UF6,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
Tue 8/19,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6/10UF10,10UF4,10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3/10UF1,12US3/12US4,13UF3,13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Wed 8/20,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF7/10UF2,10UF8/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF5,13UF4,13UF6,13UF1/13UF2,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
Thu 8/21,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6,10UF10,10UF4/10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3,12US3/12US4,10UF1,13UF3/13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Sat 8/23,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,
,SS1/SS2/SS3,SS4/SS5/SS6,8U1/8U2/8U3,8U4/8U5/8U6,8U7/8U8/8U9,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,
,10UF1/10UF2,10UF3/10UF5,10UF7/10UF8,10UF9/10UF10,13UF7,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,
,13UF1,13UF3/13UF4,13UF5/13UF6,13UF2,12US3/12US4,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,
,12US1,12US2,14F1,10UF4/10UF6,14F3,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,
,14F4,19US1,19US2,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Mon 8/25,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF2/10UF5,10UF8/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF7,13UF1,13UF2,13UF4/13UF6,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
Tue 8/26,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6/10UF10,10UF4,10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3/10UF1,12US3/12US4,13UF3,13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Wed 8/27,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF7/10UF2,10UF5/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF8,13UF4,13UF6,13UF1/13UF2,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
Thu 8/28,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6,10UF10,10UF4/10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3,12US3/12US4,10UF1,13UF3/13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Sat 8/30,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,
,SS1/SS2/SS3,SS4/SS5/SS6,8U1/8U2/8U3,8U4/8U5/8U6,10UF4/10UF6,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,
,8U7/8U8/8U9,10UF1/10UF3,10UF2/10UF5,10UF7/10UF8,10UF9/10UF10,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,
,13UF1/13UF2,13UF3/13UF4,13UF5/13UF6,13UF7,12US3/12US4,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,
,12US1,12US2,14F1,14F2,14F3,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,
,14F4,19US1,19US2,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Mon 9/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF2/10UF5,10UF8/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF7,13UF1,13UF2,13UF4/13UF6,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
Tue 9/2,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6/10UF10,10UF4,10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3/10UF1,12US3/12US4,13UF3,13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,
,,,,,,,,,,,,
Wed 9/3,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS1/SS2/SS6,8U1/8U2,8U7/8U8/8U9,10UF7/10UF2,10UF5/10UF9,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF9,13UF1,13UF2,13UF4/13UF6,12US1/12US2,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F1,14F2,19US1,19US2,Open,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Thu 9/4,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,
,SS3/SS4/SS5,8U3/8U4/8U5,8U6,10UF10,10UF4/10UF6,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,
,10UF3,12US3/12US4,10UF1,13UF3/13UF5,13UF7,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,
,14F3,14F4,Open,19US3,19US4,,,,,,,

